"v1","v2","v3","v4","v5"
"ACERBATE","ACERBATES","ACERBATED","ACERBATED","ACERBATING"
"ACETIFY","ACETIFIES","ACETIFIED","ACETIFIED","ACETIFYING"
"ACETYLATE","ACETYLATES","ACETYLATED","ACETYLATED","ACETYLATING"
"ACHE","ACHES","ACHED","ACHED","ACHING"
"ACHIEVE","ACHIEVES","ACHIEVED","ACHIEVED","ACHIEVING"
"ACHROMATIZE","ACHROMATIZES","ACHROMATIZED","ACHROMATIZED","ACHROMATIZING"
"ACIDIFY","ACIDIFIES","ACIDIFIED","ACIDIFIED","ACIDIFYING"
"ACIDULATE","ACIDULATES","ACIDULATED","ACIDULATED","ACIDULATING"
"ACIERATE","ACIERATES","ACIERATED","ACIERATED","ACIERATING"
"ACKNOWLEDGE","ACKNOWLEDGES","ACKNOWLEDGED","ACKNOWLEDGED","ACKNOWLEDGING"
"ACQUAINT","ACQUAINTS","ACQUAINTED","ACQUAINTED","ACQUAINTING"
"ACQUIESCE","ACQUIESCES","ACQUIESCED","ACQUIESCED","ACQUIESCING"
"ACQUIRE","ACQUIRES","ACQUIRED","ACQUIRED","ACQUIRING"
"ACQUIT","ACQUITS","ACQUITTED","ACQUITTED","ACQUITTING"
"ACT","ACTS","ACTED","ACTED","ACTING"
"ACTION","ACTIONS","ACTIONED","ACTIONED","ACTIONING"
"ACTIVATE","ACTIVATES","ACTIVATED","ACTIVATED","ACTIVATING"
"ACTUALISE","ACTUALISES","ACTUALISED","ACTUALISED","ACTUALISING"
"ACTUALIZE","ACTUALIZES","ACTUALIZED","ACTUALIZED","ACTUALIZING"
"ACTUATE","ACTUATES","ACTUATED","ACTUATED","ACTUATING"
"ACUMINATE","ACUMINATES","ACUMINATED","ACUMINATED","ACUMINATING"
"AD-LIB","AD-LIBS","AD-LIBBED","AD-LIBBED","AD-LIBBING"
"ADAPT","ADAPTS","ADAPTED","ADAPTED","ADAPTING"
"ADD","ADDS","ADDED","ADDED","ADDING"
"ADDICT","ADDICTS","ADDICTED","ADDICTED","ADDICTING"
"ADDLE","ADDLES","ADDLED","ADDLED","ADDLING"
"ADDRESS","ADDRESSES","ADDRESSED","ADDRESSED","ADDRESSING"
"ADDUCE","ADDUCES","ADDUCED","ADDUCED","ADDUCING"
"ADDUCT","ADDUCTS","ADDUCTED","ADDUCTED","ADDUCTING"
"ADHERE","ADHERES","ADHERED","ADHERED","ADHERING"
"ADHIBIT","ADHIBITS","ADHIBITED","ADHIBITED","ADHIBITING"
"ADJOIN","ADJOINS","ADJOINED","ADJOINED","ADJOINING"
"ADJOURN","ADJOURNS","ADJOURNED","ADJOURNED","ADJOURNING"
"ADJUDGE","ADJUDGES","ADJUDGED","ADJUDGED","ADJUDGING"
"ADJUDICATE","ADJUDICATES","ADJUDICATED","ADJUDICATED","ADJUDICATING"
"ADJURE","ADJURES","ADJURED","ADJURED","ADJURING"
"ADJUST","ADJUSTS","ADJUSTED","ADJUSTED","ADJUSTING"
"ADLIB","ADLIBS","ADLIBBED","ADLIBBED","ADLIBBING"
"ADMEASURE","ADMEASURES","ADMEASURED","ADMEASURED","ADMEASURING"
"ADMINISTER","ADMINISTERS","ADMINISTERED","ADMINISTERED","ADMINISTERING"
"ADMINISTRATE","ADMINISTRATES","ADMINISTRATED","ADMINISTRATED","ADMINISTRATING"
"ADMIRE","ADMIRES","ADMIRED","ADMIRED","ADMIRING"
"ADMIT","ADMITS","ADMITTED","ADMITTED","ADMITTING"
"ADMIX","ADMIXES","ADMIXED","ADMIXED","ADMIXING"
"ADMONISH","ADMONISHES","ADMONISHED","ADMONISHED","ADMONISHING"
"ADOPT","ADOPTS","ADOPTED","ADOPTED","ADOPTING"
"ADORE","ADORES","ADORED","ADORED","ADORING"
"ADORN","ADORNS","ADORNED","ADORNED","ADORNING"
"ADSORB","ADSORBS","ADSORBED","ADSORBED","ADSORBING"
"ADULATE","ADULATES","ADULATED","ADULATED","ADULATING"
"ADULTERATE","ADULTERATES","ADULTERATED","ADULTERATED","ADULTERATING"
"ADUMBRATE","ADUMBRATES","ADUMBRATED","ADUMBRATED","ADUMBRATING"
"ADVANCE","ADVANCES","ADVANCED","ADVANCED","ADVANCING"
"ADVANTAGE","ADVANTAGES","ADVANTAGED","ADVANTAGED","ADVANTAGING"
"ADVENTURE","ADVENTURES","ADVENTURED","ADVENTURED","ADVENTURING"
"ADVERT","ADVERTS","ADVERTED","ADVERTED","ADVERTING"
"ADVERTISE","ADVERTISES","ADVERTISED","ADVERTISED","ADVERTISING"
"ADVERTIZE","ADVERTIZES","ADVERTIZED","ADVERTIZED","ADVERTIZING"
"ADVISE","ADVISES","ADVISED","ADVISED","ADVISING"
"ADVOCATE","ADVOCATES","ADVOCATED","ADVOCATED","ADVOCATING"
"AERATE","AERATES","AERATED","AERATED","AERATING"
"AERIFY","AERIFIES","AERIFIED","AERIFIED","AERIFYING"
"AESTIVATE","AESTIVATES","AESTIVATED","AESTIVATED","AESTIVATING"
"AFFECT","AFFECTS","AFFECTED","AFFECTED","AFFECTING"
"AFFIANCE","AFFIANCES","AFFIANCED","AFFIANCED","AFFIANCING"
"AFFILIATE","AFFILIATES","AFFILIATED","AFFILIATED","AFFILIATING"
"AFFIRM","AFFIRMS","AFFIRMED","AFFIRMED","AFFIRMING"
"AFFIX","AFFIXES","AFFIXED","AFFIXED","AFFIXING"
"AFFLICT","AFFLICTS","AFFLICTED","AFFLICTED","AFFLICTING"
"AFFORD","AFFORDS","AFFORDED","AFFORDED","AFFORDING"
"AFFOREST","AFFORESTS","AFFORESTED","AFFORESTED","AFFORESTING"
"AFFRANCHISE","AFFRANCHISES","AFFRANCHISED","AFFRANCHISED","AFFRANCHISING"
"AFFRAY","AFFRAYS","AFFRAYED","AFFRAYED","AFFRAYING"
"AFFRIGHT","AFFRIGHTS","AFFRIGHTED","AFFRIGHTED","AFFRIGHTING"
"AFFRONT","AFFRONTS","AFFRONTED","AFFRONTED","AFFRONTING"
"AFRICANIZE","AFRICANIZES","AFRICANIZED","AFRICANIZED","AFRICANIZING"
"AFRIKANERIZE","AFRIKANERIZES","AFRIKANERIZED","AFRIKANERIZED","AFRIKANERIZING"
"AGE","AGES","AGED","AGED","AGING"
"AGGLOMERATE","AGGLOMERATES","AGGLOMERATED","AGGLOMERATED","AGGLOMERATING"
"AGGLUTINATE","AGGLUTINATES","AGGLUTINATED","AGGLUTINATED","AGGLUTINATING"
"AGGRADE","AGGRADES","AGGRADED","AGGRADED","AGGRADING"
"AGGRANDIZE","AGGRANDIZES","AGGRANDIZED","AGGRANDIZED","AGGRANDIZING"
"AGGRAVATE","AGGRAVATES","AGGRAVATED","AGGRAVATED","AGGRAVATING"
"AGGREGATE","AGGREGATES","AGGREGATED","AGGREGATED","AGGREGATING"
"AGGRESS","AGGRESSES","AGGRESSED","AGGRESSED","AGGRESSING"
"AGGRIEVE","AGGRIEVES","AGGRIEVED","AGGRIEVED","AGGRIEVING"
"AGIST","AGISTS","AGISTED","AGISTED","AGISTING"
"AGITATE","AGITATES","AGITATED","AGITATED","AGITATING"
"AGONISE","AGONISES","AGONISED","AGONISED","AGONISING"
"AGONIZE","AGONIZES","AGONIZED","AGONIZED","AGONIZING"
"AGREE","AGREES","AGREED","AGREED","AGREEING"
"AID","AIDS","AIDED","AIDED","AIDING"
"AIL","AILS","AILED","AILED","AILING"
"AIM","AIMS","AIMED","AIMED","AIMING"
"AIR","AIRS","AIRED","AIRED","AIRING"
"AIR-DASH","AIR-DASHES","AIR-DASHED","AIR-DASHED","AIR-DASHING"
"AIR-DRY","AIR-DRIES","AIR-DRIED","AIR-DRIED","AIR-DRYING"
"AIR-KISS","AIR-KISSES","AIR-KISSED","AIR-KISSED","AIR-KISSING"
"AIRBRUSH","AIRBRUSHES","AIRBRUSHED","AIRBRUSHED","AIRBRUSHING"
"AIRCONDITION","AIRCONDITIONS","AIRCONDITIONED","AIRCONDITIONED","AIRCONDITIONING"
"AIRCOOL","AIRCOOLS","AIRCOOLED","AIRCOOLED","AIRCOOLING"
"AIRDASH","AIRDASHES","AIRDASHED","AIRDASHED","AIRDASHING"
"AIRDROP","AIRDROPS","AIRDROPPED","AIRDROPPED","AIRDROPPING"
"AIRDRY","AIRDRIES","AIRDRIED","AIRDRIED","AIRDRYING"
"AIRFREIGHT","AIRFREIGHTS","AIRFREIGHTED","AIRFREIGHTED","AIRFREIGHTING"
"AIRKISS","AIRKISSES","AIRKISSED","AIRKISSED","AIRKISSING"
"AIRLIFT","AIRLIFTS","AIRLIFTED","AIRLIFTED","AIRLIFTING"
"AIRMAIL","AIRMAILS","AIRMAILED","AIRMAILED","AIRMAILING"
"ALARM","ALARMS","ALARMED","ALARMED","ALARMING"
"ALBUMENIZE","ALBUMENIZES","ALBUMENIZED","ALBUMENIZED","ALBUMENIZING"
"ALCHEMIZE","ALCHEMIZES","ALCHEMIZED","ALCHEMIZED","ALCHEMIZING"
"ALCOHOLIZE","ALCOHOLIZES","ALCOHOLIZED","ALCOHOLIZED","ALCOHOLIZING"
"ALERT","ALERTS","ALERTED","ALERTED","ALERTING"
"ALIBI","ALIBIS","ALIBIED","ALIBIED","ALIBIING"
"ALIEN","ALIENS","ALIENED","ALIENED","ALIENING"
"ALIENATE","ALIENATES","ALIENATED","ALIENATED","ALIENATING"
"ALIGHT","ALIGHTS","ALIGHTED","ALIGHTED","ALIGHTING"
"ALIGHT","ALIGHTS","ALIT","ALIT","ALIGHTING"
"ALIGN","ALIGNS","ALIGNED","ALIGNED","ALIGNING"
"ALIMENT","ALIMENTS","ALIMENTED","ALIMENTED","ALIMENTING"
"ALINE","ALINES","ALINED","ALINED","ALINING"
"ALKALIFY","ALKALIFIES","ALKALIFIED","ALKALIFIED","ALKALIFYING"
"ALKALIZE","ALKALIZES","ALKALIZED","ALKALIZED","ALKALIZING"
"ALLAY","ALLAYS","ALLAYED","ALLAYED","ALLAYING"
"ALLEGE","ALLEGES","ALLEGED","ALLEGED","ALLEGING"
"ALLEGORIZE","ALLEGORIZES","ALLEGORIZED","ALLEGORIZED","ALLEGORIZING"
"ALLEVIATE","ALLEVIATES","ALLEVIATED","ALLEVIATED","ALLEVIATING"
"ALLITERATE","ALLITERATES","ALLITERATED","ALLITERATED","ALLITERATING"
"ALLOCATE","ALLOCATES","ALLOCATED","ALLOCATED","ALLOCATING"
"ALLOT","ALLOTS","ALLOTTED","ALLOTTED","ALLOTTING"
"ALLOW","ALLOWS","ALLOWED","ALLOWED","ALLOWING"
"ALLOWANCE","ALLOWANCES","ALLOWANCED","ALLOWANCED","ALLOWANCING"
"ALLOY","ALLOYS","ALLOYED","ALLOYED","ALLOYING"
"ALLUDE","ALLUDES","ALLUDED","ALLUDED","ALLUDING"
"ALLURE","ALLURES","ALLURED","ALLURED","ALLURING"
"ALLY","ALLIES","ALLIED","ALLIED","ALLYING"
"ALPHA-TEST","ALPHA-TESTS","ALPHA-TESTED","ALPHA-TESTED","ALPHA-TESTING"
"ALPHABETISE","ALPHABETISES","ALPHABETISED","ALPHABETISED","ALPHABETISING"
"ALPHABETIZE","ALPHABETIZES","ALPHABETIZED","ALPHABETIZED","ALPHABETIZING"
"ALPHATEST","ALPHATESTS","ALPHATESTED","ALPHATESTED","ALPHATESTING"
"ALTER","ALTERS","ALTERED","ALTERED","ALTERING"
"ALTERCATE","ALTERCATES","ALTERCATED","ALTERCATED","ALTERCATING"
"ALTERNATE","ALTERNATES","ALTERNATED","ALTERNATED","ALTERNATING"
"ALUMINIZE","ALUMINIZES","ALUMINIZED","ALUMINIZED","ALUMINIZING"
"AMALGAMATE","AMALGAMATES","AMALGAMATED","AMALGAMATED","AMALGAMATING"
"AMASS","AMASSES","AMASSED","AMASSED","AMASSING"
"AMAZE","AMAZES","AMAZED","AMAZED","AMAZING"
"AMBLE","AMBLES","AMBLED","AMBLED","AMBLING"
"AMBULATE","AMBULATES","AMBULATED","AMBULATED","AMBULATING"
"AMBUSCADE","AMBUSCADES","AMBUSCADED","AMBUSCADED","AMBUSCADING"
"AMBUSH","AMBUSHES","AMBUSHED","AMBUSHED","AMBUSHING"
"AMELIORATE","AMELIORATES","AMELIORATED","AMELIORATED","AMELIORATING"
"AMEND","AMENDS","AMENDED","AMENDED","AMENDING"
"AMERCE","AMERCES","AMERCED","AMERCED","AMERCING"
"AMERICANISE","AMERICANISES","AMERICANISED","AMERICANISED","AMERICANISING"
"AMERICANIZE","AMERICANIZES","AMERICANIZED","AMERICANIZED","AMERICANIZING"
"AMMONIATE","AMMONIATES","AMMONIATED","AMMONIATED","AMMONIATING"
"AMMONIFY","AMMONIFIES","AMMONIFIED","AMMONIFIED","AMMONIFYING"
"AMNESTY","AMNESTIES","AMNESTIED","AMNESTIED","AMNESTYING"
"AMORTISE","AMORTISES","AMORTISED","AMORTISED","AMORTISING"
"AMORTIZE","AMORTIZES","AMORTIZED","AMORTIZED","AMORTIZING"
"AMOUNT","AMOUNTS","AMOUNTED","AMOUNTED","AMOUNTING"
"AMPLIFY","AMPLIFIES","AMPLIFIED","AMPLIFIED","AMPLIFYING"
"AMPUTATE","AMPUTATES","AMPUTATED","AMPUTATED","AMPUTATING"
"AMUSE","AMUSES","AMUSED","AMUSED","AMUSING"
"ANAESTHETISE","ANAESTHETISES","ANAESTHETISED","ANAESTHETISED","ANAESTHETISING"
"ANAESTHETIZE","ANAESTHETIZES","ANAESTHETIZED","ANAESTHETIZED","ANAESTHETIZING"
"ANAGRAMMATIZE","ANAGRAMMATIZES","ANAGRAMMATIZED","ANAGRAMMATIZED","ANAGRAMMATIZING"
"ANALOGIZE","ANALOGIZES","ANALOGIZED","ANALOGIZED","ANALOGIZING"
"ANALYSE","ANALYSES","ANALYSED","ANALYSED","ANALYSING"
"ANALYZE","ANALYZES","ANALYZED","ANALYZED","ANALYZING"
"ANASTOMOSE","ANASTOMOSES","ANASTOMOSED","ANASTOMOSED","ANASTOMOSING"
"ANATHEMATIZE","ANATHEMATIZES","ANATHEMATIZED","ANATHEMATIZED","ANATHEMATIZING"
"ANATOMIZE","ANATOMIZES","ANATOMIZED","ANATOMIZED","ANATOMIZING"
"ANCHOR","ANCHORS","ANCHORED","ANCHORED","ANCHORING"
"ANELE","ANELES","ANELED","ANELED","ANELING"
"ANESTHETISE","ANESTHETISES","ANESTHETISED","ANESTHETISED","ANESTHETISING"
"ANESTHETIZE","ANESTHETIZES","ANESTHETIZED","ANESTHETIZED","ANESTHETIZING"
"ANGER","ANGERS","ANGERED","ANGERED","ANGERING"
"ANGLE","ANGLES","ANGLED","ANGLED","ANGLING"
"ANGLE-PARK","ANGLE-PARKS","ANGLE-PARKED","ANGLE-PARKED","ANGLE-PARKING"
"ANGLICISE","ANGLICISES","ANGLICISED","ANGLICISED","ANGLICISING"
"ANGLICIZE","ANGLICIZES","ANGLICIZED","ANGLICIZED","ANGLICIZING"
"ANGLIFY","ANGLIFIES","ANGLIFIED","ANGLIFIED","ANGLIFYING"
"ANGUISH","ANGUISHES","ANGUISHED","ANGUISHED","ANGUISHING"
"ANGULATE","ANGULATES","ANGULATED","ANGULATED","ANGULATING"
"ANIMADVERT","ANIMADVERTS","ANIMADVERTED","ANIMADVERTED","ANIMADVERTING"
"ANIMALIZE","ANIMALIZES","ANIMALIZED","ANIMALIZED","ANIMALIZING"
"ANIMATE","ANIMATES","ANIMATED","ANIMATED","ANIMATING"
"ANKYLOSE","ANKYLOSES","ANKYLOSED","ANKYLOSED","ANKYLOSING"
"ANNEAL","ANNEALS","ANNEALED","ANNEALED","ANNEALING"
"ANNEX","ANNEXES","ANNEXED","ANNEXED","ANNEXING"
"ANNIHILATE","ANNIHILATES","ANNIHILATED","ANNIHILATED","ANNIHILATING"
"ANNOTATE","ANNOTATES","ANNOTATED","ANNOTATED","ANNOTATING"
"ANNOUNCE","ANNOUNCES","ANNOUNCED","ANNOUNCED","ANNOUNCING"
"ANNOY","ANNOYS","ANNOYED","ANNOYED","ANNOYING"
"ANNUALIZE","ANNUALIZES","ANNUALIZED","ANNUALIZED","ANNUALIZING"
"ANNUL","ANNULS","ANNULLED","ANNULLED","ANNULLING"
"ANNUNCIATE","ANNUNCIATES","ANNUNCIATED","ANNUNCIATED","ANNUNCIATING"
"ANODISE","ANODISES","ANODISED","ANODISED","ANODISING"
"ANODIZE","ANODIZES","ANODIZED","ANODIZED","ANODIZING"
"ANOINT","ANOINTS","ANOINTED","ANOINTED","ANOINTING"
"ANONYMISE","ANONYMISES","ANONYMISED","ANONYMISED","ANONYMISING"
"ANONYMIZE","ANONYMIZES","ANONYMIZED","ANONYMIZED","ANONYMIZING"
"ANSWER","ANSWERS","ANSWERED","ANSWERED","ANSWERING"
"ANTAGONISE","ANTAGONISES","ANTAGONISED","ANTAGONISED","ANTAGONISING"
"ANTAGONIZE","ANTAGONIZES","ANTAGONIZED","ANTAGONIZED","ANTAGONIZING"
"ANTE","ANTES","ANTED","ANTED","ANTEING"
"ANTECEDE","ANTECEDES","ANTECEDED","ANTECEDED","ANTECEDING"
"ANTEDATE","ANTEDATES","ANTEDATED","ANTEDATED","ANTEDATING"
"ANTEVERT","ANTEVERTS","ANTEVERTED","ANTEVERTED","ANTEVERTING"
"ANTHOLOGISE","ANTHOLOGISES","ANTHOLOGISED","ANTHOLOGISED","ANTHOLOGISING"
"ANTHOLOGIZE","ANTHOLOGIZES","ANTHOLOGIZED","ANTHOLOGIZED","ANTHOLOGIZING"
"ANTHROPOMORPHIZE","ANTHROPOMORPHIZES","ANTHROPOMORPHIZED","ANTHROPOMORPHIZED","ANTHROPOMORPHIZING"
"ANTICIPATE","ANTICIPATES","ANTICIPATED","ANTICIPATED","ANTICIPATING"
"ANTIQUATE","ANTIQUATES","ANTIQUATED","ANTIQUATED","ANTIQUATING"
"ANTIQUE","ANTIQUES","ANTIQUED","ANTIQUED","ANTIQUING"
"APE","APES","APED","APED","APING"
"APHORIZE","APHORIZES","APHORIZED","APHORIZED","APHORIZING"
"APOCOPATE","APOCOPATES","APOCOPATED","APOCOPATED","APOCOPATING"
"APOLOGISE","APOLOGISES","APOLOGISED","APOLOGISED","APOLOGISING"
"APOLOGIZE","APOLOGIZES","APOLOGIZED","APOLOGIZED","APOLOGIZING"
"APOSTATIZE","APOSTATIZES","APOSTATIZED","APOSTATIZED","APOSTATIZING"
"APOSTROPHISE","APOSTROPHISES","APOSTROPHISED","APOSTROPHISED","APOSTROPHISING"
"APOSTROPHIZE","APOSTROPHIZES","APOSTROPHIZED","APOSTROPHIZED","APOSTROPHIZING"
"APOTHEOSIZE","APOTHEOSIZES","APOTHEOSIZED","APOTHEOSIZED","APOTHEOSIZING"
"APPAL","APPALS","APPALLED","APPALLED","APPALLING"
"APPALL","APPALS","APPALLED","APPALLED","APPALLING"
"APPEAL","APPEALS","APPEALED","APPEALED","APPEALING"
"APPEAR","APPEARS","APPEARED","APPEARED","APPEARING"
"APPEASE","APPEASES","APPEASED","APPEASED","APPEASING"
"APPEND","APPENDS","APPENDED","APPENDED","APPENDING"
"APPERCEIVE","APPERCEIVES","APPERCEIVED","APPERCEIVED","APPERCEIVING"
"APPERTAIN","APPERTAINS","APPERTAINED","APPERTAINED","APPERTAINING"
"APPLAUD","APPLAUDS","APPLAUDED","APPLAUDED","APPLAUDING"
"APPLIQU_E","APPLIQU_ES","APPLIQU_EED","APPLIQU_EED","APPLIQU_EING"
"APPLY","APPLIES","APPLIED","APPLIED","APPLYING"
"APPOINT","APPOINTS","APPOINTED","APPOINTED","APPOINTING"
"APPORTION","APPORTIONS","APPORTIONED","APPORTIONED","APPORTIONING"
"APPOSE","APPOSES","APPOSED","APPOSED","APPOSING"
"APPRAISE","APPRAISES","APPRAISED","APPRAISED","APPRAISING"
"APPRECIATE","APPRECIATES","APPRECIATED","APPRECIATED","APPRECIATING"
"APPREHEND","APPREHENDS","APPREHENDED","APPREHENDED","APPREHENDING"
"APPRENTICE","APPRENTICES","APPRENTICED","APPRENTICED","APPRENTICING"
"APPRISE","APPRISES","APPRISED","APPRISED","APPRISING"
"APPRIZE","APPRIZES","APPRIZED","APPRIZED","APPRIZING"
"APPROACH","APPROACHES","APPROACHED","APPROACHED","APPROACHING"
"APPROBATE","APPROBATES","APPROBATED","APPROBATED","APPROBATING"
"APPROPRIATE","APPROPRIATES","APPROPRIATED","APPROPRIATED","APPROPRIATING"
"APPROVE","APPROVES","APPROVED","APPROVED","APPROVING"
"APPROXIMATE","APPROXIMATES","APPROXIMATED","APPROXIMATED","APPROXIMATING"
"APRON","APRONS","APRONED","APRONED","APRONING"
"AQUAPLANE","AQUAPLANES","AQUAPLANED","AQUAPLANED","AQUAPLANING"
"AQUATINT","AQUATINTS","AQUATINTED","AQUATINTED","AQUATINTING"
"ARBITRATE","ARBITRATES","ARBITRATED","ARBITRATED","ARBITRATING"
"ARC","ARCS","ARCED","ARCED","ARCING"
"ARCH","ARCHES","ARCHED","ARCHED","ARCHING"
"ARCHAIZE","ARCHAIZES","ARCHAIZED","ARCHAIZED","ARCHAIZING"
"ARCHIVE","ARCHIVES","ARCHIVED","ARCHIVED","ARCHIVING"
"ARGUE","ARGUES","ARGUED","ARGUED","ARGUING"
"ARGUFY","ARGUFIES","ARGUFIED","ARGUFIED","ARGUFYING"
"ARISE","ARISES","AROSE","ARISEN","ARISING"
"ARM","ARMS","ARMED","ARMED","ARMING"
"ARMOUR","ARMOURS","ARMOURED","ARMOURED","ARMOURING"
"AROMATIZE","AROMATIZES","AROMATIZED","AROMATIZED","AROMATIZING"
"AROUSE","AROUSES","AROUSED","AROUSED","AROUSING"
"ARRAIGN","ARRAIGNS","ARRAIGNED","ARRAIGNED","ARRAIGNING"
"ARRANGE","ARRANGES","ARRANGED","ARRANGED","ARRANGING"
"ARRAY","ARRAYS","ARRAYED","ARRAYED","ARRAYING"
"ARREST","ARRESTS","ARRESTED","ARRESTED","ARRESTING"
"ARRIVE","ARRIVES","ARRIVED","ARRIVED","ARRIVING"
"ARROGATE","ARROGATES","ARROGATED","ARROGATED","ARROGATING"
"ARSE","ARSES","ARSED","ARSED","ARSING"
"ARTERIALIZE","ARTERIALIZES","ARTERIALIZED","ARTERIALIZED","ARTERIALIZING"
"ARTICLE","ARTICLES","ARTICLED","ARTICLED","ARTICLING"
