"linenumber","speaker","statement","time"
"50","TRUMP","During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.","08min02sec"
"53","BIDEN","That’s simply not true.","08min24sec"
"56","TRUMP","Well, you’re certainly going to socialist. You’re going to socialist-","08min25sec"
"59","WALLACE","Gentlemen, we’re now into open discussion.","08min29sec"
"62","BIDEN","Open discussion.","08min31sec"
"65","WALLACE","Open discussion, yes, I agree. Go ahead, Vice President.","08min32sec"
"68","BIDEN","Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.","08min33sec"
"71","TRUMP","That’s not what you’ve said and it’s not what your party is saying.","08min58sec"
"74","BIDEN","That is simply a lie.","09min00sec"
"77","TRUMP","Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.","09min02sec"
"80","BIDEN","The party is me. Right now, I am the Democratic Party.","09min05sec"
"83","TRUMP","And they’re going to dominate you, Joe. You know that.","09min08sec"
"86","BIDEN","I am the Democratic Party right now.","09min09sec"
"89","TRUMP","Not according to Harris.","09min11sec"
"92","BIDEN","The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 20, the 200 mil- the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?","09min12sec"
"95","TRUMP","Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this.","09min39sec"
"98","BIDEN","I’m happy to talk about this.","09min47sec"
"101","TRUMP","And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe.","09min48sec"
"104","WALLACE","All right, gentlemen, Mr. President.","09min58sec"
"107","TRUMP","You would have been much later, Joe, much later.","10min00sec"
"110","WALLACE","Mr. President.","10min04sec"
"113","TRUMP","We’re talking about two million people.","10min04sec"
"116","BIDEN","You’re not going to be able to shut him up.","10min05sec"
"119","WALLACE","Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead.","10min06sec"
"122","BIDEN","Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-","10min11sec"
"125","TRUMP","You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.","10min25sec"
"128","BIDEN","It’s on the ballot in the court.","10min31sec"
"131","TRUMP","I don’t think so.","10min32sec"
"134","BIDEN","In the court.","10min33sec"
"137","TRUMP","There’s nothing happening there.","10min34sec"
"140","BIDEN","Donald would you just be quiet for a minute.","10min35sec"
"143","TRUMP","You don’t know her view on Roe V. Wade? You don’t know here view.","10min36sec"
"146","WALLACE","Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade.","10min40sec"
"149","BIDEN","All right.","10min51sec"
"152","WALLACE","Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.","10min51sec"
"155","TRUMP","That’s right.","11min05sec"
"158","WALLACE","You have spent the last week-","11min05sec"
"161","TRUMP","Because they want to give good healthcare.","11min07sec"
"164","WALLACE","If I may ask my question, sir.","11min08sec"
"167","BIDEN","Good healthcare.","11min11sec"
"170","WALLACE","Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.","11min11sec"
"173","TRUMP","Yes, I have. Of course, I have. The individual mandate.","11min25sec"
"176","WALLACE","[crosstalk 00:11:26] when I finish I’m going to give an opportunity-","11min26sec"
"179","TRUMP","Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare.","11min28sec"
"182","WALLACE","That’s not a comprehensive place.","11min31sec"
"185","TRUMP","That is absolutely a big thing. That was the worst part of Obamacare.","11min32sec"
"188","WALLACE","I didn’t ask, sir.","11min35sec"
"191","TRUMP","Chris, that was the worst part of Obamacare.","11min36sec"
"194","WALLACE","You’re debating him not me. Let me ask my question.","11min38sec"
"197","TRUMP","Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare.","11min38sec"
"200","WALLACE","Mr. President.","11min44sec"
"203","TRUMP","I got rid of it. And we will protect people.","11min44sec"
"206","WALLACE","Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.","11min46sec"
"209","TRUMP","Go ahead.","11min52sec"
"212","WALLACE","You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?","11min53sec"
"215","TRUMP","Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare.","12min16sec"
"218","WALLACE","What about pre-existing conditions?","12min40sec"
"221","TRUMP","All of the things that we’ve done.","12min40sec"
"224","BIDEN","He has not done healthcare.","12min41sec"
"227","TRUMP","I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.","12min42sec"
"230","WALLACE","Okay, like I say, this is open discussion.","13min03sec"
"233","TRUMP","This is big stuff.","13min04sec"
"236","WALLACE","Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.","13min06sec"
"239","BIDEN","Yes.","13min17sec"
"242","WALLACE","And the argument that he makes and other Republicans make is that that is going to end private insurance.","13min17sec"
"245","BIDEN","It is not.","13min23sec"
"248","WALLACE","If I start asking the question.","13min25sec"
"251","TRUMP","That’s not what your party says, by the way.","13min26sec"
"254","WALLACE","And it will end private insurance and create a government takeover of health.","13min29sec"
"257","BIDEN","It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicare, excuse me, Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.","13min32sec"
"260","TRUMP","Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine.","13min57sec"
"263","BIDEN","Look, hey.","14min04sec"
"266","TRUMP","Are you saying you didn’t agree?","14min05sec"
"269","BIDEN","I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.","14min06sec"
"272","TRUMP","Not by much.","14min10sec"
"275","BIDEN","I beat him by a whole hell of a lot.","14min10sec"
"278","TRUMP","Not by much.","14min12sec"
"281","BIDEN","I’m here standing facing you, old buddy.","14min12sec"
"284","TRUMP","If Pocahontas would have left two days early you would have lost every primary.","14min14sec"
"287","BIDEN","All he knows how to do-","14min17sec"
"290","TRUMP","On Super Tuesday, you got very lucky.","14min18sec"
"293","BIDEN","Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.","14min21sec"
"296","TRUMP","With what?","14min23sec"
"299","BIDEN","And tonight I’m going to make sure.","14min23sec"
"302","TRUMP","With what?","14min25sec"
"305","BIDEN","Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar.","14min25sec"
"308","TRUMP","But you agree. Joe, you’re the liar. You graduated last in your class not first in your class.","14min34sec"
"311","BIDEN","God, I want to make sure-","14min41sec"
"314","WALLACE","Mr. President, can you let him finish, sir?","14min43sec"
"317","BIDEN","No, he doesn’t know how to do that.","14min44sec"
"320","TRUMP","You’d be surprised. You’d be surprised. Go ahead, Joe.","14min46sec"
"323","BIDEN","The wrong guy, the wrong night, at the wrong time.","14min47sec"
"326","TRUMP","Listen, you agreed with Bernie Sanders and the manifesto.","14min51sec"
"329","BIDEN","There is no manifesto, number one.","14min55sec"
"332","WALLACE","Please let him speak, Mr. President.","14min57sec"
"335","BIDEN","Number two.","14min58sec"
"338","TRUMP","He just lost the left.","14min58sec"
"341","BIDEN","Number two.","14min59sec"
"344","TRUMP","You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine.","15min01sec"
"347","WALLACE","Mr. President.","15min13sec"
"350","BIDEN","I’ll tell you what, he is not for any help for people needing healthcare.","15min14sec"
"353","TRUMP","Who is, Bernie?","15min20sec"
"356","BIDEN","Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away.","15min21sec"
"359","TRUMP","No, I want to give them better healthcare at a much lower price, because Obamacare is no good.","15min41sec"
"362","BIDEN","He doesn’t know how. He doesn’t know how to do that.","15min45sec"
"365","TRUMP","I’ve already fixed it.","15min46sec"
"368","BIDEN","He has never offered a plan.","15min47sec"
"371","TRUMP","We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good.","15min49sec"
"374","WALLACE","Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir.","15min54sec"
"377","TRUMP","Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better.","15min59sec"
"380","WALLACE","I understand that, sir. But I have to give you roughly equal time.","16min42sec"
"383","TRUMP","Go ahead.","16min45sec"
"386","WALLACE","Please let the Vice President talk, sir.","16min45sec"
"389","TRUMP","Good.","16min47sec"
"392","BIDEN","He has no plan for healthcare.","16min48sec"
"395","TRUMP","Of course, we do.","16min50sec"
"398","WALLACE","Please.","16min52sec"
"401","BIDEN","He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. [crosstalk 00:17:14].","16min52sec"
"404","WALLACE","All right, I have one final question for you.","17min13sec"
"407","BIDEN","Sure.","17min15sec"
"410","WALLACE","Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?","17min16sec"
"413","BIDEN","Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel.","17min55sec"
"416","TRUMP","Are you going to pack the court?","18min05sec"
"419","BIDEN","Vote now.","18min07sec"
"422","TRUMP","Are you going to pack the court?","18min08sec"
"425","BIDEN","Make sure you, in fact, let people know, your Senators.","18min09sec"
"428","TRUMP","He doesn’t want to answer the question.","18min12sec"
"431","BIDEN","I’m not going to answer the question.","18min17sec"
"434","TRUMP","Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.","18min18sec"
"437","BIDEN","Will you shut up, man?","18min18sec"
"440","TRUMP","Listen, who is on your list, Joe? Who’s on your list?","18min20sec"
"443","WALLACE","Gentlemen, I think we’ve ended this-","18min23sec"
"446","BIDEN","This is so un-Presidential.","18min25sec"
"449","TRUMP","He’s going to pack the court. He is not going to give a list.","18min25sec"
"452","WALLACE","We have ended the segment. We’re going to move on to the second segment.","18min27sec"
"455","BIDEN","That was really a productive segment, wasn’t it? Keep yapping, man.","18min30sec"
"458","TRUMP","The people understand, Joe.","18min35sec"
"461","BIDEN","They sure do.","18min37sec"
"464","TRUMP","47 years, you’ve done nothing. They’re understand.","18min37sec"
"467","WALLACE","All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted.","18min40sec"
"470","BIDEN","Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?","19min33sec"
"473","BIDEN","He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.","20min30sec"
"476","TRUMP","Wrong.","20min43sec"
"479","BIDEN","He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan.","20min43sec"
"482","TRUMP","Wrong.","20min57sec"
"485","WALLACE","Sir, it’s his two minutes.","20min57sec"
"488","TRUMP","It’s so wrong.","20min57sec"
"491","BIDEN","I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.","20min57sec"
"494","TRUMP","So, if we would have listened to you.","21min30sec"
"497","WALLACE","Wait, wait. You have two minutes, sir.","21min31sec"
"500","TRUMP","If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute.","21min31sec"
"503","WALLACE","Sir, it’s his two minutes.","22min06sec"
"506","TRUMP","You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job.","22min07sec"
"509","TRUMP","The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe.","22min54sec"
"512","BIDEN","I know how to do the job. I know how to get the job done.","23min15sec"
"515","TRUMP","Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster.","23min18sec"
"518","BIDEN","14,000 people died, not 200,000.","23min25sec"
"521","TRUMP","A far less lethal disease, by the way.","23min27sec"
"524","WALLACE","Sir, you made a point. Let him answer it.","23min32sec"
"527","BIDEN","And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?","23min33sec"
"530","TRUMP","We would have lost far more people, far more people. You would have been months late. You’re months behind me, Joe.","23min57sec"
"533","BIDEN","His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we’re for a vaccine, but I don’t trust him at all. Nor do you. I know you don’t. What we trust is a scientist.","24min03sec"
"536","TRUMP","You don’t trust Johnson & Johnson, Pfizer?","24min25sec"
"539","WALLACE","Okay, gentlemen, gentlemen. Let me move on to questions about the future because you both have touched on two of the questions I’m going to ask. Focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your governments own top scientists. The week before last, the Head of the Centers for Disease Control, Dr. Redfield said it would be summer before the vaccine would become generally available to the public. You said that he was confused and mistaken. Those were your two words. But Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing. Are they both wrong?","00min00sec"
"542","TRUMP","Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives.","00min15sec"
"545","BIDEN","God.","00min22sec"
"548","TRUMP","It is a very political thing. I’ve spoken to Pfizer, I’ve spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It’s become very political because the left… Or I don’t know if I call them left, I don’t know what I call them.","00min23sec"
"551","WALLACE","So you’re suggesting that the head of your Operation Warp Speed, Dr. Slaoui-","00min38sec"
"554","TRUMP","I disagree with him. No, I disagree with both of them. And he didn’t say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago.","00min42sec"
"557","WALLACE","He talked about the summer, sir, before it’s generally available, just like Dr. Redfield.","00min49sec"
"560","TRUMP","Because he said it’s a possibility that we’ll have the answer before November 1st. It could also be after that.","00min53sec"
"563","WALLACE","I’m talking about when it’s generally available, not-","00min59sec"
"566","TRUMP","Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-","01min00sec"
"569","BIDEN","This is the same man who told you-","01min11sec"
"572","TRUMP","It’s all set up.","01min13sec"
"575","BIDEN","… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man.","01min14sec"
"578","TRUMP","That was said sarcastically, and you know that. That was said sarcastically.","01min24sec"
"581","BIDEN","So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will.","01min28sec"
"584","WALLACE","Mr. Vice President, I want to pick up-","01min49sec"
"587","TRUMP","You’ll have the vaccine sooner than that.","01min50sec"
"590","WALLACE","I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?","01min51sec"
"593","BIDEN","No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.","02min18sec"
"596","WALLACE","But you’re saying you can’t-","02min25sec"
"599","BIDEN","Everybody knows-","02min26sec"
"602","WALLACE","Or Senator Harris is saying you can’t trust the scientist.","02min26sec"
"605","BIDEN","Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-","02min28sec"
"608","WALLACE","She said that public health experts quote, “Will be muzzled, will be suppressed.”","02min32sec"
"611","BIDEN","Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-","02min36sec"
"614","TRUMP","We spoke to the scientists that are in charge-","02min51sec"
"617","BIDEN","By the way-","02min53sec"
"620","TRUMP","… they will have the vaccine very soon.","02min53sec"
"623","WALLACE","Let him finish.","02min55sec"
"626","BIDEN","Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-","02min55sec"
"629","WALLACE","Mr. President?","03min27sec"
"632","TRUMP","Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word.","03min28sec"
"635","BIDEN","Oh, give me a break.","03min44sec"
"638","TRUMP","Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing.","03min44sec"
"641","BIDEN","Well, let’s have this debate-","03min49sec"
"644","TRUMP","Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast.","03min51sec"
"647","WALLACE","We’ll get to the economy in the next segment, sir.","04min02sec"
"650","TRUMP","Okay. It’s going up fast. I look forward to talking about it.","04min04sec"
"653","WALLACE","Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?","04min06sec"
"656","BIDEN","Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-","04min31sec"
"659","TRUMP","Tell that to Nancy Pelosi.","04min45sec"
"662","BIDEN","Will he just shush for a minute?","04min47sec"
"665","TRUMP","Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck.","04min49sec"
"668","BIDEN","Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it.","04min52sec"
"671","TRUMP","You probably play more than I do, Joe.","05min04sec"
"674","WALLACE","What about this question of reopenings and the fact-","05min06sec"
"677","TRUMP","Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-","05min08sec"
"680","BIDEN","You just admitted you’d shut it down.","05min15sec"
"683","TRUMP","Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd.","05min15sec"
"686","WALLACE","All right. I want to move onto another-","05min54sec"
"689","TRUMP","Because it’s a political thing.","05min55sec"
"692","WALLACE","I want to move onto another subject.","05min55sec"
